,job title,more info,job_company,job_location,skill requirement 1,skill requirement 2,skill requirement 3,posted time
0,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002454700?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=1&jobId=jobsdb-th-job-300003002454700,Kerry Express (Thailand) Public Company Limited,Bangrak,Data Analyst,Retail Operation,Business Operation,14h ago
1,Data analyst (3PL analysis),https://th.jobsdb.com//th/en/job/data-analyst-3pl-analysis-300003002454999?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=2&jobId=jobsdb-th-job-300003002454999,Central JD Commerce Limited.,Bangkok,Analytical skills and presentation skills,Excel V lookup/Formula and Python,Location : Bangsaothong,14h ago
2,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002467954?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=3&jobId=jobsdb-th-job-300003002467954,"Beger Co., Ltd.",Rajthevee,Data Analyst,Power BI,MS SQL,6h ago
3,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002458693?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=4&jobId=jobsdb-th-job-300003002458693,Thaivivat Insurance Public Company Limited,Dindaeng,Experience in the data analytics lifecycle,"SQL,Python,Power BI or other statistical language",Strong data analysis & strategic mindset,20h ago
4,Data analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002463496?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=5&jobId=jobsdb-th-job-300003002463496,"SPACE CAKE CO., LTD.",Bangkhuntien,,,,20h ago
5,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002454686?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=6&jobId=jobsdb-th-job-300003002454686,"MANA DEVELOPMENT CO., LTD.",Bangplee,,,,14h ago
6,"Compliance Specialist - Data Analyst (AML, Compliance department)",https://th.jobsdb.com//th/en/job/compliance-specialist-data-analyst-aml-compliance-department-300003002468021?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=7&jobId=jobsdb-th-job-300003002468021,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Data Analyst,Compliance AML,"SQL, Python and R",5h ago
7,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002458262?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=8&jobId=jobsdb-th-job-300003002458262,"Frasers Property (Thailand) Public Co., Ltd. (FPT)",Pathumwan,Bachelor or Master Degree in Quantitative fields,Over 5 years of professional experience,Good at English language,20h ago
8,Data Scientist,https://th.jobsdb.com//th/en/job/data-scientist-300003002458894?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=9&jobId=jobsdb-th-job-300003002458894,ELECTRONICS EXTREME LIMITED,Nonthaburi > Muang,Data Scientist,Data Visualization,Data Egineering,20h ago
9,"Business Intelligence/Data Analyst (Strong Python,SQL)",https://th.jobsdb.com//th/en/job/business-intelligence-data-analyst-strong-python-sql-300003002454925?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=10&jobId=jobsdb-th-job-300003002454925,"ShopeePay (Thailand) Co., Ltd.",Huaykwang,Flexible working hours,"Excellent SQL, Python skills",Near MRT Petchburi,14h ago
10,Data Analyst,https://th.jobsdb.com//th/en/job/data-analyst-300003002454289?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=11&jobId=jobsdb-th-job-300003002454289,Central Pattana Public Company Limited,Pathumwan,"Degree in Statics, Applied statics,Finance",Experience in data analysis,Command of spoken and written English,14h ago
11,Model Management and Data Analysis (Management Level),https://th.jobsdb.com//th/en/job/model-management-and-data-analysis-management-level-300003002462856?token=0~e51b8b89-9b21-40bf-baf3-9b5cbe78937d&sectionRank=12&jobId=jobsdb-th-job-300003002462856,"ÆON Thana Sinsap (Thailand) Public Co., Ltd.",Suanluang,Develop and validate customer behavior model,"Develop SAS, SQL or any predictive analytic tools","MIS, Data Analyst or Database management",20h ago
